date,state,cases
03/16/2020,Alabama,29
03/16/2020,Alaska,3
03/16/2020,Arizona,18
03/16/2020,Arkansas,22
03/16/2020,California,588
03/16/2020,Colorado,161
03/16/2020,Connecticut,41
03/16/2020,Delaware,8
03/16/2020,District of Columbia,22
03/16/2020,Florida,141
03/16/2020,Georgia,118
03/16/2020,Guam,3
03/16/2020,Hawaii,10
03/16/2020,Idaho,5
03/16/2020,Illinois,104
03/16/2020,Indiana,24
03/16/2020,Iowa,22
03/16/2020,Kansas,11
03/16/2020,Kentucky,22
03/16/2020,Louisiana,137
03/16/2020,Maine,17
03/16/2020,Maryland,39
03/16/2020,Massachusetts,197
03/16/2020,Michigan,54
03/16/2020,Minnesota,54
03/16/2020,Mississippi,12
03/16/2020,Missouri,9
03/16/2020,Montana,8
03/16/2020,Nebraska,33
03/16/2020,Nevada,45
03/16/2020,New Hampshire,17
03/16/2020,New Jersey,176
03/16/2020,New Mexico,21
03/16/2020,New York,950
03/16/2020,North Carolina,34
03/16/2020,North Dakota,1
03/16/2020,Ohio,50
03/16/2020,Oklahoma,10
03/16/2020,Oregon,46
03/16/2020,Pennsylvania,81
03/16/2020,Puerto Rico,5
03/16/2020,Rhode Island,21
03/16/2020,South Carolina,33
03/16/2020,South Dakota,10
03/16/2020,Tennessee,52
03/16/2020,Texas,87
03/16/2020,Utah,40
03/16/2020,Vermont,12
03/16/2020,Virgin Islands,2
03/16/2020,Virginia,51
03/16/2020,Washington,794
03/16/2020,Wisconsin,47
03/16/2020,Wyoming,10
03/17/2020,Alabama,39
03/17/2020,Alaska,6
03/17/2020,Arizona,20
03/17/2020,Arkansas,22
03/17/2020,California,732
03/17/2020,Colorado,183
03/17/2020,Connecticut,68
03/17/2020,Delaware,16
03/17/2020,District of Columbia,31
03/17/2020,Florida,210
03/17/2020,Georgia,142
03/17/2020,Guam,3
03/17/2020,Hawaii,14
03/17/2020,Idaho,9
03/17/2020,Illinois,159
03/17/2020,Indiana,30
03/17/2020,Iowa,29
03/17/2020,Kansas,17
03/17/2020,Kentucky,26
03/17/2020,Louisiana,196
03/17/2020,Maine,32
03/17/2020,Maryland,57
03/17/2020,Massachusetts,218
03/17/2020,Michigan,65
03/17/2020,Minnesota,60
03/17/2020,Mississippi,21
03/17/2020,Missouri,16
03/17/2020,Montana,8
03/17/2020,Nebraska,36
03/17/2020,Nevada,55
03/17/2020,New Hampshire,26
03/17/2020,New Jersey,268
03/17/2020,New Mexico,23
03/17/2020,New York,1375
03/17/2020,North Carolina,42
03/17/2020,North Dakota,5
03/17/2020,Ohio,67
03/17/2020,Oklahoma,18
03/17/2020,Oregon,66
03/17/2020,Pennsylvania,101
03/17/2020,Puerto Rico,5
03/17/2020,Rhode Island,23
03/17/2020,South Carolina,47
03/17/2020,South Dakota,11
03/17/2020,Tennessee,73
03/17/2020,Texas,106
03/17/2020,Utah,51
03/17/2020,Vermont,14
03/17/2020,Virgin Islands,2
03/17/2020,Virginia,67
03/17/2020,Washington,908
03/17/2020,West Virginia,1
03/17/2020,Wisconsin,72
03/17/2020,Wyoming,15
03/18/2020,Alabama,51
03/18/2020,Alaska,9
03/18/2020,Arizona,28
03/18/2020,Arkansas,33
03/18/2020,California,893
03/18/2020,Colorado,216
03/18/2020,Connecticut,96
03/18/2020,Delaware,26
03/18/2020,District of Columbia,36
03/18/2020,Florida,326
03/18/2020,Georgia,193
03/18/2020,Guam,8
03/18/2020,Hawaii,16
03/18/2020,Idaho,11
03/18/2020,Illinois,286
03/18/2020,Indiana,39
03/18/2020,Iowa,38
03/18/2020,Kansas,22
03/18/2020,Kentucky,35
03/18/2020,Louisiana,280
03/18/2020,Maine,43
